Multihop,Obfuscation,Exit location,Exit server,Entry location,Entry server,Distance (km)
Always,LWO,"Australia, Sydney",au-syd-wg-003,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-003,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-003,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-101,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-101,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-101,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-101,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-101,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-102,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-102,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-102,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-102,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-102,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-103,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-103,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-103,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-103,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-103,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-104,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-104,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-104,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-104,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-104,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-301,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-302,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-302,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-303,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-303,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-303,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-303,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-303,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-304,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-304,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-304,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-304,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-304,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Belgium, Brussels",be-bru-wg-101,"Netherlands, Amsterdam",nl-ams-wg-001,173
Always,LWO,"Belgium, Brussels",be-bru-wg-101,"France, Paris",fr-par-wg-101,262
Always,LWO,"Belgium, Brussels",be-bru-wg-101,"France, Paris",fr-par-wg-101,262
Always,LWO,"Belgium, Brussels",be-bru-wg-101,"Netherlands, Amsterdam",nl-ams-wg-002,173
Always,LWO,"Belgium, Brussels",be-bru-wg-101,"Netherlands, Amsterdam",nl-ams-wg-002,173
Always,LWO,"Belgium, Brussels",be-bru-wg-102,"Netherlands, Amsterdam",nl-ams-wg-002,173
Always,LWO,"Belgium, Brussels",be-bru-wg-102,"France, Paris",fr-par-wg-101,262
Always,LWO,"Belgium, Brussels",be-bru-wg-102,"Netherlands, Amsterdam",nl-ams-wg-001,173
Always,LWO,"Belgium, Brussels",be-bru-wg-102,"Netherlands, Amsterdam",nl-ams-wg-001,173
Always,LWO,"Belgium, Brussels",be-bru-wg-102,"Netherlands, Amsterdam",nl-ams-wg-001,173
Always,LWO,"Belgium, Brussels",be-bru-wg-103,"Netherlands, Amsterdam",nl-ams-wg-002,173
Always,LWO,"Belgium, Brussels",be-bru-wg-103,"France, Paris",fr-par-wg-103,262
Always,LWO,"Belgium, Brussels",be-bru-wg-103,"Netherlands, Amsterdam",nl-ams-wg-002,173
Always,LWO,"Belgium, Brussels",be-bru-wg-103,"France, Paris",fr-par-wg-103,262
Always,LWO,"Belgium, Brussels",be-bru-wg-103,"Netherlands, Amsterdam",nl-ams-wg-001,173
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-001,"Albania, Tirana",al-tia-wg-004,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-001,"Albania, Tirana",al-tia-wg-001,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-001,"Albania, Tirana",al-tia-wg-004,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-001,"Albania, Tirana",al-tia-wg-004,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-001,"Albania, Tirana",al-tia-wg-001,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-002,"Albania, Tirana",al-tia-wg-001,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-002,"Albania, Tirana",al-tia-wg-004,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-002,"Albania, Tirana",al-tia-wg-001,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-002,"Albania, Tirana",al-tia-wg-001,326
Always,LWO,"Bulgaria, Sofia",bg-sof-wg-002,"Albania, Tirana",al-tia-wg-004,326
Always,LWO,"Brazil, Fortaleza",br-for-wg-001,"Canada, Toronto",ca-tor-wg-201,6668
Always,LWO,"Brazil, Fortaleza",br-for-wg-001,"Canada, Toronto",ca-tor-wg-201,6668
Always,LWO,"Brazil, Fortaleza",br-for-wg-001,"Canada, Toronto",ca-tor-wg-202,6668
Always,LWO,"Brazil, Fortaleza",br-for-wg-001,"France, Paris",fr-par-wg-101,7054
Always,LWO,"Brazil, Fortaleza",br-for-wg-001,"Canada, Toronto",ca-tor-wg-201,6668
Always,LWO,"Brazil, Fortaleza",br-for-wg-002,"Canada, Toronto",ca-tor-wg-202,6668
Always,LWO,"Brazil, Fortaleza",br-for-wg-002,"Canada, Toronto",ca-tor-wg-202,6668
Always,LWO,"Brazil, Fortaleza",br-for-wg-002,"Canada, Toronto",ca-tor-wg-202,6668
Always,LWO,"Brazil, Fortaleza",br-for-wg-002,"France, Paris",fr-par-wg-101,7054
Always,LWO,"Brazil, Fortaleza",br-for-wg-002,"Canada, Toronto",ca-tor-wg-201,6668
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-201,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-201,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-201,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-201,"Canada, Toronto",ca-tor-wg-201,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-201,"Canada, Toronto",ca-tor-wg-201,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-202,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-202,"Canada, Toronto",ca-tor-wg-201,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-202,"Mexico, Queretaro",mx-qro-wg-001,7616
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-202,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-202,"Mexico, Queretaro",mx-qro-wg-001,7616
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-302,"Canada, Toronto",ca-tor-wg-201,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-302,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-302,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-302,"Mexico, Queretaro",mx-qro-wg-001,7616
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-302,"Mexico, Queretaro",mx-qro-wg-001,7616
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-303,"Canada, Toronto",ca-tor-wg-201,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-303,"Canada, Toronto",ca-tor-wg-201,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-303,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-303,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-303,"Mexico, Queretaro",mx-qro-wg-001,7616
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-304,"Canada, Toronto",ca-tor-wg-202,8190
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-304,"Mexico, Queretaro",mx-qro-wg-001,7616
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-304,"Mexico, Queretaro",mx-qro-wg-001,7616
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-304,"Mexico, Queretaro",mx-qro-wg-001,7616
Always,LWO,"Brazil, Sao Paulo",br-sao-wg-304,"Canada, Toronto",ca-tor-wg-201,8190
Always,LWO,"Canada, Montreal",ca-mtr-wg-001,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-001,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-001,"Mexico, Queretaro",mx-qro-wg-001,3698
Always,LWO,"Canada, Montreal",ca-mtr-wg-001,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-001,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-002,"Mexico, Queretaro",mx-qro-wg-001,3698
Always,LWO,"Canada, Montreal",ca-mtr-wg-002,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-002,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-002,"Mexico, Queretaro",mx-qro-wg-001,3698
Always,LWO,"Canada, Montreal",ca-mtr-wg-002,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-003,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-003,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-003,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-003,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-003,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-004,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-004,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-004,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-004,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-004,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-201,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-201,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-201,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-201,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-201,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-202,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-202,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-202,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-202,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-202,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-301,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-301,"Mexico, Queretaro",mx-qro-wg-001,3698
Always,LWO,"Canada, Montreal",ca-mtr-wg-301,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-302,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-302,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-302,"Mexico, Queretaro",mx-qro-wg-001,3698
Always,LWO,"Canada, Montreal",ca-mtr-wg-302,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-302,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-303,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-303,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-303,"Mexico, Queretaro",mx-qro-wg-001,3698
Always,LWO,"Canada, Montreal",ca-mtr-wg-303,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-303,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-304,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-304,"Canada, Toronto",ca-tor-wg-202,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-304,"Mexico, Queretaro",mx-qro-wg-001,3698
Always,LWO,"Canada, Montreal",ca-mtr-wg-304,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-304,"USA, Los Angeles, CA",us-lax-wg-203,3969
Always,LWO,"Canada, Montreal",ca-mtr-wg-305,"Canada, Toronto",ca-tor-wg-201,507
Always,LWO,"Canada, Montreal",ca-mtr-wg-305,"Canada, Toronto",ca-tor-wg-201,507
